,cos_similarity,match_sentence,post_id,sentence,symptom,user_id
27,0.7887167930603027,has anyone else out of breath,411264600214295,Definitely out of breath all the time!!,breathing,601786676
28,0.783934473991394,my symptoms included dizzy,414574979883257,"Along with the headaches and fatigue I am extremely dizzy, sometimes disoriented and no appetite.",lightheaded,588223780
29,0.7610435485839844,has anyone else trouble breathing,561324061875014,Ive been having a harder time breathing.,breathing,1559060730
30,0.8376706838607788,I had faint,562843195056434,Did you faint or almost faint?,lightheaded,715701130
31,0.8686536550521851,I experienced shortness of breath,563997521607668,Ive had shortness of breath for a month.,breathing,100001405587096
32,0.7683403491973877,has anyone else shortness of breath,563997521607668,But does anyone who suffered from shortness of breath notice that it comes in waves?,breathing,100001405587096
33,0.7817150354385376,I experienced vertigo,416871796320242,Head pain like vertigo.,lightheaded,100034980079669
34,0.7510403990745544,has anyone else increased heart rate,407010343973054,Has anyone recovered from fast heart rate?,heart,1278620074
35,0.8756126165390015,has anyone else leg swelling,411962363477852,Has anyone else had their feet and legs swell like this?,leg,1050567314
36,0.8088950514793396,has anyone else shortness of breath,413853133288775,I am always still short of breath.,breathing,1449502289
37,0.7556778192520142,dealing with trouble breathing,643406383366946,I have a hard time breathing ever since I was hospitalized a few months ago.,breathing,100014235700069
38,0.7806538343429565,my symptoms included vertigo,647279989646252,I have extreme dizziness/vertigo.,lightheaded,1376047744
39,0.7934444546699524,I had vertigo,647333366307581,I suppose was like vertigo.,lightheaded,1371214742
40,0.834658682346344,has anyone else shortness of breath,649072389467012,"I feel like I keep asking this in different groups, dont think Ive asked here yethas anyone gotten over shortness of breath???",breathing,100000543297755
41,0.8491795659065247,has anyone else shortness of breath,649072389467012,I have had shortness of breath since the last week of April 2021.,breathing,100000543297755
42,0.8298540711402893,has anyone else leg pain,650805775960340,I have never had leg pain before.,leg,1199845881
43,0.8639763593673706,I experienced shortness of breath,650900429284208,Ive had shortness of breath with exertion from the beginning.,breathing,1115857259
44,0.8893023729324341,my symptoms included vertigo,655400642167520,Has severe vertigo?,lightheaded,1298310206
45,0.8133952021598816,has anyone else shortness of breath,655764502131134,What has helped some of you with shortness of breath?,breathing,1639282463
46,0.7526503205299377,has anyone else leg pain,656025722105012,Im wondering if anyone else is experiencing calf soreness and leg weakness?,leg,697422456
47,0.8204048871994019,I experienced dizzy,656102985430619,I get super dizzy.,lightheaded,1552823638
48,0.8393862247467041,dealing with shortness of breath,656102985430619,What helps with the shortness of breath?,breathing,1552823638
49,0.7907516956329346,I had leg swelling,567405060967079,"I actually had SWELLING go down IMMEDIATELY in my knees, ankles & feet.",leg,100004314402905
50,0.7667393684387207,my symptoms included dizzy,585285732512345,I also get very dizzy/lightheaded and feel off-balance.,lightheaded,504654048
51,0.7744366526603699,dealing with pulmonary embolism,633519127689005,Endened up in the hospital with 2 pulmonary embolisms.,pulmonary embolism,100000445545370
52,0.7835525870323181,I experienced dizzy,639805270393724,Sometimes feel dizzy.,lightheaded,1596140565
53,0.7785392999649048,I had shortness of breath,410658279975092,"I had shortness of breath, fatigue, and body pains that were unreal.",breathing,100000024506226
54,0.7551760077476501,has anyone else dizzy,404079170932838,Yes Im still dizzy and have brain fog.,lightheaded,6105165
55,0.7973492741584778,I experienced shortness of breath,404264077581014,Shortness of breath still comes back on and off.,breathing,884355111
56,0.7939939498901367,my symptoms included shortness of breath,406286534045435,Shortness of breath can be a symptom of a cardiac abnormality.,breathing,1781263491
57,0.8412688970565796,has anyone else shortness of breath,406962007311221,I get short of breath periodically too.,breathing,100054446924551
58,0.7955268621444702,my symptoms included vertigo,410134763660612,My dizziness came from Vertigo which I was diagnosed with 3 years ago,lightheaded,100006525969443
59,0.7589325904846191,I had blood clot,410696010271154,Did they check you for a blood clot,blood clot,567475183
60,0.8052139282226562,has anyone else shortness of breath,412528850087870,I also get short of breath which I never did before!,breathing,1412631709
61,0.7627408504486084,has anyone else shortness of breath,413309636676458,My husband still has some shortness of breath.,breathing,1230887487
62,0.7554285526275635,I had trouble breathing,413490336658388,Still having breathing issues.,breathing,1203857116
63,0.7581244111061096,my symptoms included shortness of breath,414335806573841,I dont have any shortness of breath but shaking and muscle aches and spasms.,breathing,100002862655124
64,0.7571624517440796,my symptoms included shortness of breath,414584289882326,Sinus issues and shortness of breath as well.,breathing,1584819970
65,0.7579411268234253,I experienced dizzy,414607039880051,Very dizzy I feel deunk,lightheaded,100055054561531
66,0.9121804237365723,dealing with shortness of breath,416118146395607,Shortness of breath,breathing,100055517284249
67,0.761023759841919,dealing with shortness of breath,416490876358334,I am dealing with shortness of breath and Gi issues.,breathing,100000327039762
68,0.8253751993179321,I had increased heart rate,416659263008162,My blood pressure and heart rate was elevated.,heart,1449502289
69,0.8157720565795898,I experienced vertigo,416877006319721,"The sense of vertigo could be from a few things..
1.",lightheaded,100000608622966
70,0.8511190414428711,I had vertigo,417166222957466,"I just thought I had vertigo, that eventually went away on its on.",lightheaded,1452348791
71,0.7581925988197327,my symptoms included shortness of breath,417221019618653,"Shortness of breath,Fatigue,
Dry Cough, body Aches some days and Anxiety.",breathing,100000116518531
72,0.7902897596359253,dealing with shortness of breath,417516859589069,The shortness of breath is horrible!,breathing,1394324511
73,0.8486213684082031,I had trouble breathing,417818399558915,I still couldn't breathe properly.,breathing,100015649536286
74,0.9005540013313293,my symptoms included shortness of breath,418078232866265,Same symptoms I just never experienced the shortness of breath,breathing,100025264096331
75,0.8180475234985352,I experienced vertigo,418086439532111,Expecting some kind of inner ear thing might be causing the vertigo.,lightheaded,770279240
76,0.7816082239151001,has anyone else blood clot,418094132864675,I've heard stories about blood clots.,blood clot,100004028165779
77,0.7613388299942017,dealing with vertigo,418180662856022,"I still have both positional and horizontal vertigo, along with intermittent dizziness.",lightheaded,1385016566
78,0.7566328048706055,I experienced blood clot,419195902754498,But the blood clot thing makes me worry.,blood clot,1368562228
79,0.8229533433914185,I experienced increased heart rate,419727822701306,My heart rate is elevated to.,heart,1449502289
80,0.7542930245399475,I experienced vertigo,419930166014405,Vertigo and brain fog,lightheaded,100000584816806
81,0.7854915857315063,dealing with dizzy,419992152674873,Dizzy,lightheaded,100003563425312
82,0.7545167803764343,my symptoms included shortness of breath,420376485969773,Shortness of breath and fatigue as day goes on.,breathing,100000557236709
83,0.830345869064331,I had pulmonary embolism,420612912612797,I also have pulmonary embolism in both lungs.,pulmonary embolism,1818527972
84,0.8184875249862671,I experienced vertigo,420984579242297,"Severe vertigo, even while sitting.",lightheaded,100001118070693
85,0.8228566646575928,I experienced vertigo,421024772571611,I also have bad vertigo.,lightheaded,100000149106692
86,0.938029408454895,has anyone else leg swelling,421226002551488,Anyone have swelling in their legs??,leg,1270082120
87,0.7587964534759521,dealing with leg swelling,421226002551488,My left leg is so swollen and it hurts a lot heavy and hard to walk on.,leg,1270082120
88,0.8743995428085327,I experienced shortness of breath,422147535792668,Shortness of breath.,breathing,100000140450634
89,0.7554687261581421,I experienced leg pain,422461189094636,I've been having leg pain on inner calf.,leg,100001834569911
90,0.7894212007522583,my symptoms included dizzy,423777592296329,Lately I have just started with dizziness.,lightheaded,1115182138
91,0.7502187490463257,dealing with trouble breathing,423789618961793,"Or, dealing with similar breathing issues especially while talking.",breathing,1115182138
92,0.7817987203598022,has anyone else shortness of breath,423790615628360,"I have shortness of breath often, but doesn't necessarily HURT to breath.",breathing,1115182138
93,0.8928940296173096,dealing with pulmonary embolism,423970355610386,Pulmonary Embolism.,pulmonary embolism,711160733
94,0.7538185119628906,I felt shortness of breath,424313535576068,Still short of breath.,breathing,712088064
95,0.7803909778594971,has anyone else shortness of breath,424771692196919,However til this day I still suffer from shortness of breath from time-to-time.,breathing,1115182138
96,0.7837921380996704,I experienced shortness of breath,424771692196919,"The shortness of breath is something I pray will go away soon, its been scary.",breathing,1115182138
97,0.7531979084014893,has anyone else trouble breathing,424804102193678,Does anyone have problems with memory and hard time breathing?,breathing,1115182138
98,0.7810521125793457,I experienced shortness of breath,424817105525711,QUESTION: My shortness of breath had completely resolved for the last month.,breathing,1115182138
99,0.7538185119628906,I felt shortness of breath,424830212191067,Still short of breath.,breathing,1115182138
100,0.7538185119628906,I felt shortness of breath,424834098857345,Still short of breath.,breathing,1115182138
101,0.8425803184509277,I experienced shortness of breath,425311858809569,Shortness of breath on and off.,breathing,100034636242767
102,0.8171377778053284,I had dizzy,425316032142485,I was so dizzy and disoriented.,lightheaded,1586101333
103,0.7719705104827881,my symptoms included lightheadedness,425462302127858,Lightheaded and dizziness.,lightheaded,1395341183
104,0.8317697048187256,I experienced vertigo,425496085457813,Never had vertigo before.,lightheaded,1115182138
105,0.8474242687225342,has anyone else vertigo,425506778790077,Anyone with vertigo or dizziness non stop?,lightheaded,825870424
106,0.9462897777557373,I had stroke,425523632121725,I had a stroke.,stroke,1115182138
107,0.79863440990448,I had leg pain,425598098780945,With my leg pain I am worried.,leg,1115182138
108,0.8825464248657227,my symptoms included heart issue,426033252070763,I have those symptoms I feel like my heart is not functioning right,heart,100002799358331
109,0.8159846067428589,dealing with trouble breathing,426036108437309,Use a breathing treatment.,breathing,775124596
110,0.7809685468673706,I experienced shortness of breath,426571778683577,I am still having shortness of breath after 5 weeks.,breathing,100003504521447
111,0.8743995428085327,I experienced shortness of breath,426610585346363,Shortness of breath.,breathing,638642575
112,0.7923339605331421,dealing with vertigo,426901981983890,"I have had persistent vertigo, even while sitting, for about a month.",lightheaded,100001118070693
113,0.8046436309814453,I had clot,426959061978182,Went to the dr they thought I had a clot but couldnt find it.,blood clot,1408306023
114,0.7947235107421875,I had vertigo,427046128336307,"vertigo so bad, lost strength, couldnt live independently.",lightheaded,712763385
115,0.8010070323944092,I experienced dizzy,427149708625784,I also experience dizziness.,lightheaded,100003368886270
116,0.9409124851226807,has anyone else shortness of breath,427458998594855,Shortness of breath still.Does anybody else?,breathing,1561322689
117,0.8272063136100769,I had lightheadedness,427610585246363,Lightheaded occasionally.,lightheaded,100003337103235
118,0.7750216126441956,has anyone else increased heart rate,428010681873020,Has anyone recovered from the rise in heart rate when just walking around the house?,heart,1447299319
119,0.7727447748184204,I experienced vertigo,428025625204859,This is the first morning that I don't feel any vertigo.,lightheaded,100001063293930
120,0.8255481719970703,dealing with blood clot,429226918418063,One more question about blood clots please.,blood clot,100000905495946
121,0.807026743888855,I had leg pain,429272415080180,"A few weeks later, my right leg pain progressed.",leg,778520095
122,0.789810836315155,dealing with leg pain,429857225021699,Leg problems,leg,100040084727015
123,0.828124463558197,I experienced shortness of breath,429902778350477,I also feel short of breath despite being able to take deep breaths ( that has also occurred throughout).,breathing,100001818260377
124,0.8370437026023865,has anyone else dizzy,429980561676032,Dizzy all the time.,lightheaded,770450231
125,0.8114833831787109,I had shortness of breath,430228924984529,After 14 days I became short of breath.,breathing,100008517676454
126,0.8113528490066528,my symptoms included shortness of breath,430277298313025,"Right now my current symptoms are shortness of breath, fatigue and difficulty sleeping.",breathing,1016963976
127,0.8759415149688721,I felt vertigo,430435798297175,Felt sort of like vertigo.,lightheaded,100000884182245
128,0.7971419095993042,I had pulmonary embolism,430828641591224,I was in the hospital for a week with a pulmonary embolism and pneumonia.,pulmonary embolism,1533558954
129,0.778404951095581,has anyone else shortness of breath,431094478231307,I get so short of breath with everything.,breathing,1575667512
130,0.779984712600708,my symptoms included shortness of breath,431425424864879,Lingering shortness of breath and random muscle pain.,breathing,1520597190
131,0.8703217506408691,has anyone else leg pain,431463224861099,Has anyone felt pain in their legs?,leg,1714707008
132,0.7543647289276123,my symptoms included shortness of breath,431694441504644,But I have all these heart symptoms and get short of breath,breathing,100001595221966
133,0.7985287308692932,has anyone else leg swelling,431964521477636,Anyone having problems with their ankles being swollen?,leg,1281394322
134,0.7673705220222473,I experienced shortness of breath,431988708141884,The shortness of breath did not go away.,breathing,629334091
135,0.8148629069328308,I experienced shortness of breath,432128674794554,Ive had shortness of breath since and occasional chest pain.,breathing,547622143
136,0.7701027393341064,I had leg pain,432311548109600,"Back pain, leg pain.",leg,100000884182245
137,0.7936455011367798,I experienced increased heart rate,432540404753381,My heart rate is slightly elevated.,heart,1347497061
138,0.8600258827209473,I experienced shortness of breath,432590428081712,I still have some shortness of breath.,breathing,1088025863
139,0.7708933353424072,my symptoms included vertigo,432703411403747,I'm concerned about the dizziness and vertigo.,lightheaded,100009068053233
140,0.7688420414924622,I had vertigo,433051578035597,Like bad vertigo.,lightheaded,100000545521666
141,0.9058212637901306,I had blood clot,433149404692481,Just had a blood clot.,blood clot,1525987118
142,0.8239572048187256,I experienced shortness of breath,433735791300509,Also every now and then I have shortness of breath.,breathing,581856871
143,0.7897375822067261,has anyone else palpitation,434253921248696,Anyone else struggling with palpitations ?,heart,7910215
144,0.8743995428085327,I experienced shortness of breath,434857577854997,Shortness of breath.,breathing,38506246
145,0.7701874375343323,has anyone else vertigo,434916737849081,"Anyone suffering from dizziness/
light headedness, vertigo as a long haulers symptom?",lightheaded,100000545521666
146,0.8027849197387695,my symptoms included dizzy,434961977844557,Recently I been feeling a bit dizzy and with blurred vision.,lightheaded,100028665214854
147,0.9253029227256775,has anyone else vertigo,435089821165106,Any one else has vertigo like this,lightheaded,100000421483950
148,0.932551383972168,I experienced shortness of breath,435090044498417,I was experiencing shortness of breath.,breathing,100002407335455
149,0.8685674667358398,has anyone else shortness of breath,435090044498417,I have major shortness of breath still.,breathing,100002407335455
150,0.9311057329177856,has anyone else shortness of breath,435165347824220,Has anyone mostly experienced shortness of breath?,breathing,100002407335455
151,0.7568095922470093,I experienced dizzy,435876787753076,"dizziness, lightheaded.",lightheaded,100006781473666
152,0.7995452880859375,I had shortness of breath,435883597752395,For a few days I was wheezy and short of breath.,breathing,1657389780
153,0.8502237796783447,dealing with shortness of breath,436097367731018,For anyone having shortness of breath you might want to look into it.,breathing,1622525238
154,0.7547417283058167,I had vertigo,436216147719140,Will have random bouts of vertigo.,lightheaded,1504158204
155,0.7558236122131348,my symptoms included trouble breathing,436671677673587,My main symptom is breathlessness.,breathing,528781044
156,0.7655635476112366,I experienced trouble breathing,436783054329116,Now my breathing issues have returned.,breathing,1315547057
157,0.7680539488792419,has anyone else blood clot,436981914309230,Has anyone had bloodwork come back jacked up but no blood clots?,blood clot,1316577001
158,0.786616861820221,I experienced dizzy,437135190960569,Super dizzy today.,lightheaded,801409692
159,0.8346396684646606,dealing with vertigo,437451700928918,Perhaps see a physical therapist trained in vestibular problems to treat your vertigo.,lightheaded,100000079697297
160,0.7977471351623535,I experienced increased heart rate,437843907556364,"Recently with it the last week, I started getting an increased heart rate.",heart,1445700059
161,0.7768071293830872,has anyone else dizzy,437943180879770,Anyone also experience servere dizzyness and light headed ness?,lightheaded,100000637801197
162,0.8626547455787659,has anyone else leg pain,438266294180792,Anyone having leg problems?,leg,784602767
163,0.7960072755813599,I experienced shortness of breath,438363410837747,"Not long after, I started with shortness of breath.",breathing,100000912837824
164,0.8202839493751526,I experienced shortness of breath,438542894153132,Since then I still have shortness of breath but not as severe.,breathing,1490567581
165,0.823694109916687,I experienced shortness of breath,438622097478545,Just felt terrible with bad shortness of breath.,breathing,100003974678522
166,0.7941462993621826,I experienced shortness of breath,439012147439540,Extremely short of breath.,breathing,100002407335455
167,0.8672745227813721,has anyone else clot,439337720740316,Anyone had clot issues?,blood clot,100000181864030
168,0.7579947710037231,my symptoms included clot,439364837404271,"what symptoms do you have when you have a clot in your leg, or lung?",blood clot,1266404692
169,0.8068670630455017,my symptoms included clot,439408957399859,"Can anyone who had clots describe the symptoms/
feelings the clots gave them?",blood clot,606479904
170,0.7574561834335327,I experienced trouble breathing,439860100688078,All this time my main problem has been my breathing.,breathing,100003278832640
171,0.7648153901100159,I had increased heart rate,439902830683805,Started having elevated heart rate at random times.,heart,1405130451
172,0.8280923962593079,dealing with shortness of breath,439996754007746,Wish there was something to help with this severe shortness of breath.,breathing,1446878477
173,0.8095693588256836,dealing with dizzy,440016560672432,I am dizzy often.,lightheaded,7959932
174,0.8227086067199707,I experienced shortness of breath,440161080657980,I've had shortness of breath for 9 weeks now.,breathing,100002407335455
175,0.7933780550956726,has anyone else leg pain,440724640601624,Im asking if anyone is experiencing leg pain/burning and what you are doing to help it?,leg,1603656865
176,0.7501764297485352,I had vertigo,440729920301261,Vertigo too.,lightheaded,712763385
177,0.7784554362297058,I experienced shortness of breath,441261093881312,Still shortness of breath and cough.,breathing,798349555
178,0.7508352398872375,I had fast heartbeat,441367583870663,I had what felt like racing heart.,heart,100006781473666
179,0.7771437168121338,I experienced dizzy,441367583870663,"Very dizzy, Very lightheaded.",lightheaded,100006781473666
180,0.7538185119628906,I felt shortness of breath,441491203858301,Still short of breath.,breathing,1464098093
181,0.7600434422492981,I experienced leg pain,441533640520724,I endured tremendous muscle pain in my legs and feet.,leg,604557334
182,0.7796655893325806,I experienced leg pain,441559330518155,This leg pain feels like it's coming from middle of my bones.,leg,1472376871
183,0.7504744529724121,has anyone else leg pain,441605127180242,Does anyone have random pain in the arms and legs?,leg,1013007043
184,0.8000798225402832,I experienced shortness of breath,441741703833251,The cardiologist says this explains my shortness of breath episodes.,breathing,560420749
185,0.8780020475387573,has anyone else leg pain,442605153746906,"Is anyone having horrible leg pain, to the point where you cant walk?",leg,1034381904
186,0.7621840834617615,has anyone else increased heart rate,442609147079840,Has anyone thats recovered and was experiencing heart rate spikes has that improved?,heart,100001168958287
187,0.8991605043411255,my symptoms included shortness of breath,442620553745366,My main symptom is shortness of breath.,breathing,100002407335455
188,0.7734048366546631,my symptoms included trouble breathing,442820407058714,I didnt have the respiratory symptoms but I do have these weird neurological symptoms.,breathing,1598806074
189,0.8675406575202942,I experienced shortness of breath,443388760335212,I also get shortness of breath.,breathing,100010502233377
190,0.7684008479118347,I experienced blood clot,444244203583001,I am freaking myself out that I have a blood clot or a damaged heart.,blood clot,750093824
191,0.792809009552002,I had lightheadedness,444473650226723,Lightheaded.,lightheaded,100000110063662
192,0.8150650262832642,I experienced shortness of breath,444480073559414,"Shortness of breath
3.",breathing,100024771670582
193,0.77974933385849,has anyone else shortness of breath,444541623553259,"Does anyone here have shortness of breath after doing exercise or fast paced activity, have sort like a rapid heart rate and then when you breath everything gets back to normal?",breathing,1352201666
194,0.7773217558860779,I experienced fast heartbeat,444610583546363,My heart beats fast.,heart,100005734391295
195,0.8261216878890991,I had pulmonary embolism,444647516876003,they thought I had a pulmonary embolism.,pulmonary embolism,15721160
196,0.7608994245529175,I experienced dizzy,444956980178390,"I felt dizzy, tired, and fainted often.",lightheaded,1161859660
197,0.7570651769638062,I had vertigo,445143040159784,Around the 20th of January I started having severe vertigo with nausea.,lightheaded,100019721030910
198,0.7832844257354736,has anyone else leg pain,445707846769970,Anyone having calf pain?,leg,100002421745850
199,0.7878241539001465,my symptoms included vertigo,447029426637812,Vertigo and palpitations?,lightheaded,801762459
200,0.8910585641860962,has anyone else heart issue,447516039922484,Anyone else had heart issues.,heart,1371990110
201,0.8513544201850891,I experienced shortness of breath,447592013248220,My shortness of breath sucks.,breathing,100032048318030
202,0.7910823225975037,my symptoms included trouble breathing,447597706580984,What i notice is my breathing issues still.,breathing,1313792529
203,0.7513270378112793,dealing with trouble breathing,447607026580052,My breathing issues is still horrible.,breathing,1066533133
204,0.763387143611908,has anyone else trouble breathing,447619173245504,"I am having a hard time breathing, is this why?",breathing,1517921541
205,0.8123818635940552,I had vertigo,447674093240012,I saw a doctor today and was diagnosed with vertigo.,lightheaded,1355855570
206,0.7870849370956421,I had vertigo,447674093240012,Now vertigo.,lightheaded,1355855570
207,0.7525278329849243,my symptoms included dizzy,448016526539102,I get dizziness randomly.,lightheaded,1501050010
208,0.7566022872924805,has anyone else heart issue,448658809808207,"I have had so many issues since then, mostly with my heart.",heart,100000386329000
209,0.80518639087677,has anyone else vertigo,448830753124346,I was just diagnosed with vertigo this week.,lightheaded,1355855570
210,0.7607371807098389,I experienced shortness of breath,448854973121924,I had a slight cough and never noticed shortness of breathe.,breathing,100011175965383
211,0.7800556421279907,has anyone else shortness of breath,448908546449900,Shortness of breath and fatigue is killing me.,breathing,100000060222172
212,0.8377898931503296,I had leg swelling,449327323074689,I started swelling in my legs and face.,leg,1218318274
213,0.7807430028915405,dealing with vertigo,449550996385655,"Thanks..I have a vertigo, has been with me for almost 3 months now..making me crazy.",lightheaded,1277652513
214,0.7830027341842651,I experienced shortness of breath,449658446374910,"I had a ""mild"" case of just fatigue and shortness of breath.",breathing,1341498434
215,0.761044979095459,dealing with shortness of breath,449691889704899,I have times of being very short of breath even when my 02 is fine.,breathing,1158463132
216,0.7749374508857727,I felt increased heart rate,449707726369982,My heart rate went all over the place.,heart,1480955055
217,0.7600233554840088,my symptoms included rapid heartbeat,449714146369340,"Those symptoms were fast racing heart, fluttering heart, chest tightness, some shortness of breath, trouble with dizziness, headaches, fatigue.",heart,100002226019744
218,0.7549737691879272,I felt palpitation,449784039695684,Palpitations.,heart,100000483429041
219,0.7741278409957886,has anyone else leg pain,449992353008186,"Anybody have pain from the knee to the foot tingling, cramping pain?",leg,100001595140725
220,0.8666325211524963,has anyone else increased heart rate,450040553003366,Has anybody randomly had their heart rate dramatically increase.,heart,1500849670
221,0.7856850028038025,has anyone else out of breath,450177546323000,Anyone get realllly out of breath just talking?,breathing,1452445334
222,0.77332603931427,I experienced blood clot,450255206315234,I hope its not a blood clot.,blood clot,100000140136637
223,0.8600258827209473,I experienced shortness of breath,450462876294467,I still have some shortness of breath.,breathing,665663101
224,0.7938330769538879,has anyone else dizzy,450553292952092,Has anyone overcome the dizziness?,lightheaded,1479113751
225,0.7512392401695251,dealing with trouble breathing,450761646264590,Breathing issues is my main concern.,breathing,100006617713554
226,0.8881134986877441,has anyone else vertigo,450892136251541,Vertigo anyone?,lightheaded,1440313498
227,0.7646719217300415,my symptoms included trouble breathing,451593969514691,"I haven't been having issues breathing for the last couple months, so im not even sure what's wrong with me.",breathing,100000308870903
228,0.7615464925765991,my symptoms included trouble breathing,451670712840350,My symptoms are mostly mild chest pain when breathing.,breathing,1053697018
229,0.8014203310012817,my symptoms included shortness of breath,451693806171374,Anyone have shortness of breath and stomach problems,breathing,100000060222172
230,0.9072909355163574,has anyone else vertigo,451769569497131,Does anyone suffer from vertigo?,lightheaded,100001430088480
231,0.8009185194969177,my symptoms included trouble breathing,451769569497131,Hard to breathe among other symptoms mentioned by others.,breathing,100001430088480
232,0.7518784999847412,has anyone else blood clot,451903862817035,Has anyone been diagnosed with a blood clot in their lungs?,blood clot,1002543306
233,0.8163103461265564,I experienced vertigo,452386222468964,vertigo has me dizzy  God help us,lightheaded,100004143158273
234,0.7547757029533386,I had vertigo,452643425776577,Fortunately my vertigo has subsided.,lightheaded,100001307828323
235,0.776012122631073,I experienced shortness of breath,452646209409467,I still have some shortness of breath or chest tightness that comes and goes.,breathing,716912741
236,0.8136584758758545,I felt lightheadedness,452698986070856,I feel so lightheaded.,lightheaded,100000326653717
237,0.7673642039299011,dealing with increased heart rate,453136409360447,Now Im dealing with racing heart rate.,heart,100009986922813
238,0.7858587503433228,I experienced shortness of breath,453176449356443,On December 11 I started having shortness of breath.,breathing,1665639822
239,0.7810384035110474,my symptoms included shortness of breath,453422625998492,Symptoms began w a sudden shortness of breath & heart racing.,breathing,1413250945
240,0.7699347138404846,has anyone else dizzy,453710299303058,Has anyone had any luck getting their dizziness under control?,lightheaded,90900699
241,0.774215817451477,I had vertigo,453789899295098,Had severe vertigo in Jan but seemed to go away.,lightheaded,539665264
242,0.8129685521125793,has anyone else dizzy,453789899295098,This morning i got out of bed and was sooooooo dizzy.,lightheaded,539665264
243,0.8193486928939819,I experienced shortness of breath,453812475959507,Shortness of breath that comes and goes too.,breathing,1203118512
244,0.8479776382446289,I had leg pain,453856292621792,I have been having the same leg pain.,leg,1793101029
245,0.7993496060371399,dealing with trouble breathing,453875385953216,Is there ANYTHING I can try to help with breathing difficulties??,breathing,164901057
246,0.7614041566848755,my symptoms included trouble breathing,453875385953216,"My first symptom, difficulty breathing, started December 4th.",breathing,164901057
247,0.8770802021026611,I experienced shortness of breath,453880592619362,I still have shortness of breath.,breathing,100002407335455
248,0.8276628255844116,my symptoms included shortness of breath,454032542604167,Had every symptom except shortness of breath.,breathing,1132359515
249,0.7941503524780273,I experienced shortness of breath,454378789236209,I never experienced shortness of breath or any of the typical symptoms.,breathing,1683030324
250,0.7711694240570068,I experienced shortness of breath,454395612567860,I get short of breath when I walk.,breathing,100005054048205
251,0.7954092621803284,my symptoms included dizzy,454395612567860,I have dizzy spells.,lightheaded,100005054048205
252,0.8019871115684509,I experienced faint,454395612567860,Ive fainted twice.,lightheaded,100005054048205
253,0.8421863913536072,my symptoms included trouble breathing,454424775898277,Typical symptoms but no breathing issues then.,breathing,1631072989
